Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
"Guerrero, Armstrong and Johnson Pvt. Ltd.",Telecom,UK,Mixtral,2022,18597,20,22035,29.2,Collaboration improved; documentation and meetings are more efficient. Some departments feel left behind.
"Taylor, Robinson and Simmons Pvt. Ltd.",Defense,Japan,Claude,2023,18652,24,11969,22.8,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
"Hoffman, Wade and Bray Pvt. Ltd.",Transportation,Australia,Claude,2022,4435,19,17044,6.4,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
"Morrison, Morgan and Perez Pvt. Ltd.",Hospitality,India,Gemini,2023,9215,23,17243,20.6,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
"Ayers, Flores and Franklin Pvt. Ltd.",Technology,USA,ChatGPT,2023,2737,3,4841,24.9,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
Patrick Group Pvt. Ltd.,Technology,Brazil,Groq,2022,11408,22,21233,6.5,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Anderson, Harrell and Sanchez Pvt. Ltd.",Healthcare,UK,Mixtral,2023,16518,24,14981,18.6,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Fox-Wilson Pvt. Ltd.,Transportation,Germany,Claude,2023,5765,23,5549,25.9,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
Carter-Boyle Pvt. Ltd.,Utilities,France,Groq,2022,18871,13,12604,7.2,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Jackson-Logan Pvt. Ltd.,Legal Services,India,LLaMA,2023,5623,5,13974,29.3,There's concern that AI will replace some of us soon. Job rotations have increased.
"Wright, Henry and Sellers Pvt. Ltd.",Finance,South Africa,Groq,2022,18587,6,24083,25.5,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
"Taylor, Shaw and Gardner Pvt. Ltd.",Retail,Germany,Claude,2022,1260,28,1806,12.2,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
Goodman-Horn Pvt. Ltd.,Hospitality,South Korea,LLaMA,2024,19327,24,17114,13.9,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
Garcia-Olson Pvt. Ltd.,Hospitality,UK,LLaMA,2024,14532,24,20496,13.9,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
"Ingram, Wright and Burns Pvt. Ltd.",Entertainment,India,Gemini,2022,13521,12,14362,23.4,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
Patton-Lee Pvt. Ltd.,Technology,Singapore,LLaMA,2024,5045,6,715,6.0,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
"Jarvis, Johnston and Garcia Pvt. Ltd.",Utilities,India,ChatGPT,2024,12680,30,21216,26.7,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
"Wolf, Lucas and Robertson Pvt. Ltd.",Healthcare,UAE,Mixtral,2024,18032,10,10302,30.0,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Nguyen-Cook Pvt. Ltd.,Hospitality,South Korea,Gemini,2022,12086,11,850,26.3,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Wheeler, Jenkins and Mckenzie Pvt. Ltd.",Advertising,Japan,LLaMA,2024,15604,20,4126,23.1,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
Johnson-Rivera Pvt. Ltd.,Transportation,Japan,Mixtral,2022,149,6,15099,6.7,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
"Lee, Guzman and Jones Pvt. Ltd.",Retail,Canada,LLaMA,2022,18601,17,21588,29.6,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
Richmond-Strickland Pvt. Ltd.,Hospitality,UK,ChatGPT,2023,11947,29,9504,18.1,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
"Obrien, Reeves and Fuller Pvt. Ltd.",Legal Services,USA,Gemini,2022,7134,19,24656,11.2,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
"Phillips, Walker and Mccoy Pvt. Ltd.",Utilities,South Africa,ChatGPT,2023,6512,27,19178,9.9,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Ford, Vega and Roberts Pvt. Ltd.",Telecom,UK,Gemini,2024,4332,13,15990,11.0,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
Torres-Morgan Pvt. Ltd.,Legal Services,Switzerland,Mixtral,2024,2956,28,18284,24.5,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Fitzpatrick-Villarreal Pvt. Ltd.,Telecom,Canada,Gemini,2022,1796,3,15444,7.5,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Shaw-Frank Pvt. Ltd.,Finance,Australia,Mixtral,2024,8079,14,15056,17.5,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Wong-Jones Pvt. Ltd.,Manufacturing,UK,Groq,2022,8726,30,14903,29.8,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
Gomez-Bray Pvt. Ltd.,Finance,South Korea,Groq,2023,13104,29,1480,25.0,Our workflows have improved drastically with generative AI. Job rotations have increased.
"Williams, Ramos and Reid Pvt. Ltd.",Telecom,Switzerland,LLaMA,2022,7005,10,9385,21.0,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Mcdaniel-Hodges Pvt. Ltd.,Education,Switzerland,Gemini,2023,5711,25,5285,11.7,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Wilcox-Lewis Pvt. Ltd.,Transportation,Switzerland,Gemini,2022,2375,9,23190,28.0,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Kim-Sandoval Pvt. Ltd.,Retail,South Korea,Gemini,2024,6839,6,17427,23.0,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Perry-Huber Pvt. Ltd.,Manufacturing,Singapore,Groq,2023,15265,29,4190,26.2,I love using AI—it makes my job easier and more fun. Job rotations have increased.
"Manning, Knox and Hernandez Pvt. Ltd.",Telecom,France,Groq,2022,18566,26,16196,10.5,"Mixed responses—management excited, staff feel uncertain. Job rotations have increased."
"Morales, Velasquez and Petersen Pvt. Ltd.",Defense,USA,LLaMA,2023,11996,14,19730,28.8,"AI helped me reduce repetitive tasks, but learning curve was steep. Monthly town halls discuss the AI rollout."
Guerrero-Ramsey Pvt. Ltd.,Entertainment,Canada,Groq,2024,8896,29,7010,34.1,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
"Jones, Martinez and Moore Pvt. Ltd.",Telecom,South Korea,Mixtral,2023,13108,28,15642,15.3,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Cervantes-Patel Pvt. Ltd.,Healthcare,Canada,Groq,2022,3154,2,9777,32.7,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Melton-Macias Pvt. Ltd.,Legal Services,Australia,Gemini,2024,8441,30,2105,2.9,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
"Tate, Adams and Sherman Pvt. Ltd.",Healthcare,South Korea,Claude,2024,16902,10,3243,32.6,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
Anderson-Gordon Pvt. Ltd.,Telecom,Switzerland,Mixtral,2024,4986,4,18545,12.9,"Mixed responses—management excited, staff feel uncertain. Job rotations have increased."
Gibbs-Lewis Pvt. Ltd.,Entertainment,India,Mixtral,2024,4906,2,1731,33.7,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
Valdez-Moore Pvt. Ltd.,Finance,India,Gemini,2024,15364,11,19318,32.6,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
Vazquez-Bond Pvt. Ltd.,Education,Australia,LLaMA,2024,7536,15,1861,34.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Clients now expect faster results due to AI use."
Butler-Craig Pvt. Ltd.,Healthcare,France,LLaMA,2022,6739,9,12548,15.9,"Productivity increased, but there's anxiety about job security. Job rotations have increased."
Terrell-Armstrong Pvt. Ltd.,Healthcare,Singapore,ChatGPT,2022,11797,16,8034,2.0,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
Garcia-Mcdonald Pvt. Ltd.,Advertising,Singapore,LLaMA,2023,3655,26,16276,8.5,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Whitney, Mcdonald and White Pvt. Ltd.",Legal Services,Australia,Mixtral,2023,9148,15,5559,11.3,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
Weber-Henry Pvt. Ltd.,Legal Services,South Korea,Claude,2023,2332,18,13968,26.8,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
Boyer-Taylor Pvt. Ltd.,Education,Singapore,ChatGPT,2023,3733,12,10864,25.7,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
"Gray, Davis and Barnes Pvt. Ltd.",Retail,Japan,Groq,2023,534,27,4081,17.4,Our workflows have improved drastically with generative AI. My team adapted faster than others.
Mills and Sons Pvt. Ltd.,Telecom,Japan,ChatGPT,2024,19379,29,17029,29.7,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
Price-Gibson Pvt. Ltd.,Hospitality,Switzerland,ChatGPT,2022,9688,22,1313,28.8,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
Sullivan-Lowe Pvt. Ltd.,Manufacturing,UAE,LLaMA,2024,8665,11,5644,18.2,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
Austin-Reese Pvt. Ltd.,Advertising,South Africa,Groq,2023,11671,1,4968,28.8,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
"Medina, King and Green Pvt. Ltd.",Technology,Australia,Gemini,2023,16930,1,24129,24.2,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
David-Wilson Pvt. Ltd.,Finance,France,ChatGPT,2024,15405,3,4378,5.6,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Smith-Brady Pvt. Ltd.,Utilities,USA,LLaMA,2022,11708,5,7094,9.5,Our workflows have improved drastically with generative AI. Monthly town halls discuss the AI rollout.
"Myers, Sullivan and Mccullough Pvt. Ltd.",Defense,Canada,Groq,2023,17197,11,898,13.7,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
Brown-West Pvt. Ltd.,Retail,India,Gemini,2022,18128,19,16064,33.0,Our workflows have improved drastically with generative AI. My team adapted faster than others.
Mahoney-Hernandez Pvt. Ltd.,Transportation,Australia,Mixtral,2022,17372,27,17385,25.0,"Productivity increased, but there's anxiety about job security. Job rotations have increased."
"Tucker, Wang and Green Pvt. Ltd.",Technology,South Africa,LLaMA,2023,8013,6,13498,14.7,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
Barr-Wells Pvt. Ltd.,Technology,France,Gemini,2023,13307,2,6936,27.7,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
Miller-Richards Pvt. Ltd.,Legal Services,Brazil,Groq,2022,19035,4,18506,24.6,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
Sullivan Group Pvt. Ltd.,Healthcare,Brazil,Mixtral,2023,16061,29,19038,19.7,There's concern that AI will replace some of us soon. Some departments feel left behind.
"Bass, Wade and Jackson Pvt. Ltd.",Manufacturing,USA,Gemini,2023,3396,20,12293,26.1,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
"Harris, Juarez and Schneider Pvt. Ltd.",Telecom,Germany,Mixtral,2024,7579,22,21087,7.5,"Job roles have shifted a lot, which is both good and scary. My team adapted faster than others."
"Austin, Smith and Davidson Pvt. Ltd.",Legal Services,Brazil,Claude,2024,11504,1,9239,27.2,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
"Allen, Gordon and Cochran Pvt. Ltd.",Technology,USA,Mixtral,2023,13753,1,22970,4.2,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Jackson-Roth Pvt. Ltd.,Legal Services,Germany,LLaMA,2024,6478,28,10483,32.6,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
Keller-Oconnell Pvt. Ltd.,Retail,India,ChatGPT,2022,10817,13,18773,22.3,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
"Williams, Christian and Zavala Pvt. Ltd.",Technology,Brazil,Groq,2024,9468,15,24715,30.3,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
"Alexander, King and Gutierrez Pvt. Ltd.",Finance,South Africa,LLaMA,2024,17350,10,23153,34.2,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
Bolton-Phelps Pvt. Ltd.,Healthcare,South Korea,Groq,2022,1634,13,12622,26.3,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
"Young, Sims and Baker Pvt. Ltd.",Transportation,Australia,Gemini,2023,12325,16,9813,12.1,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
Sanchez-Sullivan Pvt. Ltd.,Transportation,Brazil,Gemini,2022,6207,3,22398,7.0,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
"Mullins, Graves and Steele Pvt. Ltd.",Finance,Japan,ChatGPT,2022,14226,14,14081,9.5,"Job roles have shifted a lot, which is both good and scary. My team adapted faster than others."
"Sanders, Lutz and Robinson Pvt. Ltd.",Defense,South Africa,Claude,2023,18090,5,24258,10.5,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
"Long, Rodriguez and Reid Pvt. Ltd.",Education,Singapore,LLaMA,2022,6864,5,4571,32.5,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
"Hanson, Sweeney and Ray Pvt. Ltd.",Education,Canada,LLaMA,2024,15573,6,6134,25.6,"AI helped me reduce repetitive tasks, but learning curve was steep. Job rotations have increased."
"Cox, Patterson and Jackson Pvt. Ltd.",Technology,UK,LLaMA,2023,7408,5,1149,33.9,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
"Robinson, Johnson and Lee Pvt. Ltd.",Defense,Canada,Gemini,2022,938,11,2791,7.1,There's concern that AI will replace some of us soon. Managers were initially skeptical.
"Miller, Carlson and Alvarado Pvt. Ltd.",Finance,India,LLaMA,2023,2336,2,6225,17.1,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Miller, Massey and Wright Pvt. Ltd.",Healthcare,Japan,Groq,2023,5746,3,6592,4.0,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Short, Stevenson and Smith Pvt. Ltd.",Entertainment,Germany,LLaMA,2022,8864,7,16058,4.0,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
"Tran, Harrison and Ewing Pvt. Ltd.",Healthcare,Canada,Mixtral,2024,5778,24,7286,7.6,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
Harris-Poole Pvt. Ltd.,Telecom,France,Gemini,2023,7571,12,23322,6.6,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
"Duncan, Hamilton and Castillo Pvt. Ltd.",Transportation,Japan,Gemini,2023,14664,12,4132,25.4,"Mixed responses—management excited, staff feel uncertain. Monthly town halls discuss the AI rollout."
Anderson-Conway Pvt. Ltd.,Advertising,Switzerland,LLaMA,2023,7272,5,6651,14.7,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
Vargas-Long Pvt. Ltd.,Advertising,UK,Gemini,2022,3024,21,6808,5.2,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
Mccall-Cruz Pvt. Ltd.,Advertising,Canada,Claude,2023,2616,17,4786,16.1,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Mason-Lang Pvt. Ltd.,Utilities,South Africa,Mixtral,2023,16020,19,16042,20.7,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
"Vincent, Cole and Nielsen Pvt. Ltd.",Entertainment,South Korea,LLaMA,2022,6902,30,16298,30.5,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
"Harper, Larson and Fox Pvt. Ltd.",Telecom,UK,Gemini,2023,15856,5,1663,10.1,There's concern that AI will replace some of us soon. Some departments feel left behind.
"Thomas, Woodard and Mitchell Pvt. Ltd.",Defense,Germany,Groq,2022,10369,4,16332,18.5,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
"Miller, Davis and Bennett Pvt. Ltd.",Education,Australia,ChatGPT,2022,10496,24,16068,30.7,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
"Collins, Stone and Lawson Pvt. Ltd.",Transportation,South Korea,Gemini,2024,908,15,11773,18.6,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
"Haynes, Shields and Carter Pvt. Ltd.",Entertainment,Australia,Groq,2023,8751,4,23987,30.7,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Morales, Stephens and Mills Pvt. Ltd.",Retail,UAE,Claude,2024,16788,18,5012,6.8,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
Roberts-Kennedy Pvt. Ltd.,Transportation,South Korea,LLaMA,2022,13587,2,15967,31.5,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
"Lopez, Hernandez and Charles Pvt. Ltd.",Defense,USA,Groq,2023,13079,12,13836,23.2,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
Wallace-Huerta Pvt. Ltd.,Transportation,South Korea,Groq,2024,18784,13,14107,8.9,"We now finish tasks faster, but some older employees are struggling. Monthly town halls discuss the AI rollout."
"Butler, Chandler and Gregory Pvt. Ltd.",Advertising,Canada,Mixtral,2023,16688,17,19119,12.5,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Richmond-Hartman Pvt. Ltd.,Utilities,UK,Gemini,2023,5471,13,21301,3.8,There's concern that AI will replace some of us soon. Job rotations have increased.
"Parker, Wright and Wiley Pvt. Ltd.",Manufacturing,Brazil,Gemini,2023,17719,25,7069,6.4,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Murphy-Navarro Pvt. Ltd.,Retail,Canada,ChatGPT,2024,12673,14,9119,23.3,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
Ross-Collins Pvt. Ltd.,Technology,Canada,Claude,2023,13557,22,14029,30.4,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
"Carr, Malone and Weaver Pvt. Ltd.",Healthcare,Brazil,Gemini,2024,1073,14,9345,2.0,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
"Drake, Dean and Walton Pvt. Ltd.",Transportation,Brazil,Mixtral,2024,12336,24,3130,2.9,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Mckee Inc Pvt. Ltd.,Defense,South Africa,Groq,2024,17337,30,23056,11.8,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
"Morris, Crosby and Green Pvt. Ltd.",Advertising,USA,LLaMA,2022,14435,23,5503,29.3,"Productivity increased, but there's anxiety about job security. Managers were initially skeptical."
"Bauer, Hernandez and Simpson Pvt. Ltd.",Advertising,USA,Claude,2024,15195,13,23510,7.9,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
"Young, Sims and Morrow Pvt. Ltd.",Finance,Brazil,ChatGPT,2022,18829,14,17367,29.7,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Mcdonald, Jackson and Burnett Pvt. Ltd.",Advertising,Brazil,Gemini,2024,7181,19,17242,2.6,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
"Reyes, Lowe and Hernandez Pvt. Ltd.",Hospitality,UAE,Groq,2022,13015,14,13144,11.7,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
"Terry, Wang and Martin Pvt. Ltd.",Entertainment,UAE,Groq,2023,12801,15,23242,16.4,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Watson, Frederick and Patterson Pvt. Ltd.",Hospitality,Switzerland,Groq,2022,17688,16,18754,20.7,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
Day-Fields Pvt. Ltd.,Healthcare,Japan,ChatGPT,2023,330,26,23037,28.5,Collaboration improved; documentation and meetings are more efficient. Some departments feel left behind.
"Garcia, Miller and Malone Pvt. Ltd.",Telecom,Germany,Gemini,2022,1671,18,14513,16.6,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
"Martin, Sanchez and Sanchez Pvt. Ltd.",Healthcare,UK,Groq,2022,10443,2,11708,15.8,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
"Harper, Brooks and Baxter Pvt. Ltd.",Telecom,Switzerland,Gemini,2023,9508,29,24912,26.9,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
"Solis, Herrera and Brown Pvt. Ltd.",Advertising,Switzerland,Groq,2023,11534,20,10728,29.6,"Mixed responses—management excited, staff feel uncertain. Overall, it's a big shift."
"Harrison, Jenkins and Smith Pvt. Ltd.",Advertising,Germany,Gemini,2022,4417,20,22327,28.5,There's concern that AI will replace some of us soon. Some departments feel left behind.
King-Jones Pvt. Ltd.,Transportation,France,Gemini,2024,4739,3,19513,6.0,"Mixed responses—management excited, staff feel uncertain. Monthly town halls discuss the AI rollout."
"Shaw, Brown and Duncan Pvt. Ltd.",Utilities,Australia,Groq,2022,9239,13,6635,32.0,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
Harris-Harris Pvt. Ltd.,Healthcare,Switzerland,Groq,2023,16007,18,24949,7.2,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
"Baker, Reynolds and Aguilar Pvt. Ltd.",Telecom,USA,Groq,2024,12943,2,24758,8.8,Our workflows have improved drastically with generative AI. My team adapted faster than others.
"Nelson, Snow and Meadows Pvt. Ltd.",Defense,Canada,Claude,2024,16062,2,18778,10.4,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
"Aguirre, King and Miller Pvt. Ltd.",Healthcare,UAE,ChatGPT,2024,18248,23,18282,8.9,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
"Mack, Sims and Jackson Pvt. Ltd.",Hospitality,Brazil,Claude,2024,12988,9,14485,9.4,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
Gonzales-Williams Pvt. Ltd.,Finance,France,Mixtral,2024,2348,13,12498,31.6,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
Hunt-Mills Pvt. Ltd.,Legal Services,USA,Mixtral,2022,9291,10,18900,10.1,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
"French, Mills and Bernard Pvt. Ltd.",Entertainment,Germany,LLaMA,2022,19686,11,3282,17.2,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
Collins-Shepherd Pvt. Ltd.,Healthcare,France,Mixtral,2023,2053,12,17797,5.0,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
Rice LLC Pvt. Ltd.,Technology,India,ChatGPT,2023,7564,15,6648,27.1,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Goodman-Silva Pvt. Ltd.,Finance,South Korea,Groq,2023,10593,26,7538,5.2,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
"Hicks, Brown and Hoover Pvt. Ltd.",Utilities,Switzerland,Mixtral,2022,18374,2,11293,10.7,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
Randall-Myers Pvt. Ltd.,Healthcare,South Africa,Claude,2024,2324,8,6821,33.9,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
"Griffin, Hernandez and Edwards Pvt. Ltd.",Defense,Brazil,Groq,2023,7886,7,9858,18.2,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
Ramirez Inc Pvt. Ltd.,Finance,South Korea,ChatGPT,2023,5595,25,9014,7.4,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
Moore-Morris Pvt. Ltd.,Utilities,South Korea,Claude,2023,3736,13,20352,26.1,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
Scott-Freeman Pvt. Ltd.,Legal Services,Singapore,Groq,2024,14497,12,13362,11.0,There's concern that AI will replace some of us soon. My team adapted faster than others.
"Collier, Williams and Brown Pvt. Ltd.",Transportation,India,Claude,2022,7167,22,18420,19.6,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
"Christian, Ruiz and Brewer Pvt. Ltd.",Defense,India,Mixtral,2024,17020,11,22336,6.1,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
Tucker-Fernandez Pvt. Ltd.,Defense,India,Gemini,2024,3368,18,11501,27.0,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
Murphy-Wheeler Pvt. Ltd.,Legal Services,UAE,LLaMA,2024,10687,10,14445,29.8,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
Barron-Santos Pvt. Ltd.,Legal Services,Germany,Groq,2022,14446,25,23226,7.9,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
"Castro, Gregory and Mooney Pvt. Ltd.",Utilities,USA,Groq,2024,12932,10,12079,12.5,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
"Page, Baker and Wells Pvt. Ltd.",Hospitality,South Korea,LLaMA,2024,12280,19,24396,5.1,Our workflows have improved drastically with generative AI. Some departments feel left behind.
Waters LLC Pvt. Ltd.,Entertainment,South Korea,ChatGPT,2024,2909,27,7251,14.5,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Schmidt-Johnson Pvt. Ltd.,Transportation,South Africa,LLaMA,2024,8727,1,10263,17.2,"Mixed responses—management excited, staff feel uncertain. Job rotations have increased."
Jordan-Logan Pvt. Ltd.,Transportation,Brazil,LLaMA,2024,17316,15,8298,21.4,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
"Hancock, Chang and Barnes Pvt. Ltd.",Advertising,UK,Mixtral,2022,12638,13,11874,16.5,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
"Tucker, Young and Roberts Pvt. Ltd.",Finance,South Korea,Mixtral,2023,4606,14,3168,29.0,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
Taylor-Tran Pvt. Ltd.,Technology,Singapore,Mixtral,2023,13750,22,18896,18.0,New roles are exciting; transition was smoother than expected. Job rotations have increased.
"Gray, Joseph and Lopez Pvt. Ltd.",Manufacturing,South Africa,Claude,2024,10940,12,3844,17.0,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
"Mathis, Fox and Macias Pvt. Ltd.",Manufacturing,South Africa,Gemini,2022,3539,13,11898,13.0,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
Chavez-Martinez Pvt. Ltd.,Hospitality,UK,Claude,2022,6045,3,16682,21.6,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
Smith-Martin Pvt. Ltd.,Advertising,Australia,ChatGPT,2023,17744,16,2847,16.0,"We now finish tasks faster, but some older employees are struggling. Monthly town halls discuss the AI rollout."
Kim-Robinson Pvt. Ltd.,Transportation,Canada,Gemini,2022,7003,6,19723,30.5,There's concern that AI will replace some of us soon. Job rotations have increased.
"Hall, Fuller and Hoffman Pvt. Ltd.",Hospitality,France,LLaMA,2023,14567,7,14890,3.9,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
Gardner-Garcia Pvt. Ltd.,Education,UK,Groq,2024,3114,15,16872,29.0,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
